seed,scenario_id,method_count,context_count,alignment_sha256,task_oracle_opened
29,clock_drift_-250ppm,6,192,a775fe5085e1cb6c819c4408d5fa952f430aa434527b2c5d4cb4b91e6cc9d458,False
29,clock_drift_+250ppm,6,192,c75bee9caccdf57cfb5d90d4a9afa3b8f94605fa3ca509de413d0b6ad8c08800,False
29,random_missing_00pct,6,192,34768d8501c3671184203211c4444288be0212e07bf008606c08562d2f91adf1,False
29,random_missing_10pct,6,192,c47818ca3fbbb36816ae04a5c1b0813fc7b0cd2b2f9fb68da371cd1f6401cb31,False
29,random_missing_30pct,6,192,492931dc591fd3267c1d15e2ae95ff61ac49f8c9deac04cef860532baa707db1,False
29,random_missing_50pct,6,192,d6735911a83eae184cabb0a777d9821cb7eca955a514f550ed07261bd1365868,False
29,contiguous_gap_00s,6,192,23b8118f54024c16b678032d35660320c997c761b6b9a54d145e8a308501c4d2,False
29,contiguous_gap_05s,6,192,c91948840555d3f4846a101403c771658e470fd80a5a8c2e470b5ae35f8f0a71,False
29,contiguous_gap_15s,6,192,95f5e1a3575a40aca727749f5c265a1183c111b6a0d70c35bcca0775a8b3635f,False
29,contiguous_gap_30s,6,192,6a6aa43d39703cfdfa8a37fdae44abb395b1b91ee124cf16e3cc65113b9e5777,False
29,physiology_lag_02s,6,192,0968547277eea2456b713879435edbbc705c4d60c1bf9b9eed13bc7ab3199d74,False
29,physiology_lag_05s,6,192,21c0091fe775276bbfb9ee02be3248cca5a209fcf1099f30b6f5ee2adb21d782,False
29,physiology_lag_15s,6,192,3837039fec397d2fb7de6cd5194e02155c2ae58ddec42adcfe7a328c6eae05b0,False
29,physiology_lag_30s,6,192,a23c9d9bd60b2d71b24e9daeb7939191a545c9669d86499a687c30985f196d71,False
29,observation_snr_30db,6,192,bf27b08bb22b5a19add4860074ebe7bbdefae11a0b601a94fbf315bc48576d47,False
29,observation_snr_20db,6,192,c81a70d926a45aca57683fc4ae7cc1c7d8ba11a397c9031c299b1530ca297410,False
29,observation_snr_10db,6,192,eb85d5b3eaaee3803e64ba9ab6365f1dee0ae654fae6c7e87ba382d4cd90d6a1,False
29,observation_snr_05db,6,192,af1d703126d53a9dd477ec1c889305d07b1d39a9c71a7926ae25bd116c84c769,False
29,mixed_severe,6,192,4fd34d3db2dfffd554bdd955ae5ae427eeb96565444fd7d0b2eeeab399c3953c,False
43,timestamp_jitter_000ms,6,192,845cc4f4b660a19173e9c67a9b1e59916419b8323d07188003cdb38bea9a0f44,False
43,timestamp_jitter_020ms,6,192,a01c9c926a75e43ff7233c67df1f3fc5b1cea6d11e1ec7453c5093ec4614331d,False
43,timestamp_jitter_050ms,6,192,6dcea81f925c54af49a8258ace66b7092cef618782596a7d9433ff4f493ed5c3,False
43,timestamp_jitter_100ms,6,192,9b365d62f69441b34355d5e072febb95af03d2577d90c3dc5fc35867acc693f4,False
43,clock_offset_+0.00s,6,192,4bbb66ee94beeacbeb28293c36486f2f420689e3466bb4f0e3579a5968e3ebc4,False
43,clock_offset_-0.25s,6,192,37ff2a995bd61ded7fc9d7e4821a078410e1c71266cdf6a3bca4f9a5274dcabf,False
43,clock_offset_+0.25s,6,192,8aee51153e5a25b2c3584a21f3ae9e9a2782821ac7e0c62eef65807a6e241412,False
43,clock_offset_-1.00s,6,192,8cf827e79fe8be22277f753eea77984429beb67a872d6b10cc70f5a8614eff3b,False
43,clock_offset_+1.00s,6,192,15d4367fb27fe053f405097b5d2e31247f0002761360e59d845e23c76035cc16,False
43,clock_offset_-3.00s,6,192,ca3d7577d5c7390b18745e5c0f2ccdde289160676ea4e3f9b10369031a123a06,False
43,clock_offset_+3.00s,6,192,5d2e9e9eec99040c8efee90942ba666db2700bf989a8c1c203e3b20d118519aa,False
43,clock_drift_+000ppm,6,192,988939d534633de446448078ecdef5b952485aa20d355bfee71fd555ad1f4fc9,False
43,clock_drift_-050ppm,6,192,e84b517ee44c75e86e37c87c66116a66276a6c1be5a38d0fdce20cc5e65decab,False
43,clock_drift_+050ppm,6,192,0553aae0575c816fec12f256f156e3c4053d88864da5cae03ff0935c9f94e12c,False
43,clock_drift_-100ppm,6,192,f289a960741a760a13bedb6ba94309c65424e296f33e59a380314c4477483793,False
43,clock_drift_+100ppm,6,192,186d710aaf13a948608d8e53217eba1d3a937d997faab6cc0844e1959e60faa4,False
43,clock_drift_-250ppm,6,192,a775fe5085e1cb6c819c4408d5fa952f430aa434527b2c5d4cb4b91e6cc9d458,False
43,clock_drift_+250ppm,6,192,c75bee9caccdf57cfb5d90d4a9afa3b8f94605fa3ca509de413d0b6ad8c08800,False
43,random_missing_00pct,6,192,34768d8501c3671184203211c4444288be0212e07bf008606c08562d2f91adf1,False
43,random_missing_10pct,6,192,c47818ca3fbbb36816ae04a5c1b0813fc7b0cd2b2f9fb68da371cd1f6401cb31,False
43,random_missing_30pct,6,192,492931dc591fd3267c1d15e2ae95ff61ac49f8c9deac04cef860532baa707db1,False
43,random_missing_50pct,6,192,d6735911a83eae184cabb0a777d9821cb7eca955a514f550ed07261bd1365868,False
43,contiguous_gap_00s,6,192,23b8118f54024c16b678032d35660320c997c761b6b9a54d145e8a308501c4d2,False
43,contiguous_gap_05s,6,192,c91948840555d3f4846a101403c771658e470fd80a5a8c2e470b5ae35f8f0a71,False
43,contiguous_gap_15s,6,192,95f5e1a3575a40aca727749f5c265a1183c111b6a0d70c35bcca0775a8b3635f,False
43,contiguous_gap_30s,6,192,6a6aa43d39703cfdfa8a37fdae44abb395b1b91ee124cf16e3cc65113b9e5777,False
43,physiology_lag_02s,6,192,0968547277eea2456b713879435edbbc705c4d60c1bf9b9eed13bc7ab3199d74,False
43,physiology_lag_05s,6,192,21c0091fe775276bbfb9ee02be3248cca5a209fcf1099f30b6f5ee2adb21d782,False
43,physiology_lag_15s,6,192,3837039fec397d2fb7de6cd5194e02155c2ae58ddec42adcfe7a328c6eae05b0,False
43,physiology_lag_30s,6,192,a23c9d9bd60b2d71b24e9daeb7939191a545c9669d86499a687c30985f196d71,False
43,observation_snr_30db,6,192,bf27b08bb22b5a19add4860074ebe7bbdefae11a0b601a94fbf315bc48576d47,False
43,observation_snr_20db,6,192,c81a70d926a45aca57683fc4ae7cc1c7d8ba11a397c9031c299b1530ca297410,False
43,observation_snr_10db,6,192,eb85d5b3eaaee3803e64ba9ab6365f1dee0ae654fae6c7e87ba382d4cd90d6a1,False
43,observation_snr_05db,6,192,af1d703126d53a9dd477ec1c889305d07b1d39a9c71a7926ae25bd116c84c769,False
43,mixed_severe,6,192,4fd34d3db2dfffd554bdd955ae5ae427eeb96565444fd7d0b2eeeab399c3953c,False
