dataset_id,variant_id,fused_dim,second_stream_role,second_stream_is_real_vehicle,evidence_role,fusion_route,lag_policy,causal_policy,lag_gate_mean,context_gate_mean,vehicle_gate_mean,causal_gate_mean,source_stage,status,task_name,model_name,split_strategy,seed,fold_index,test_group,sample_count,macro_f1,balanced_accuracy,rmse,mae,nrmse,top1,top3,top5,mrr,fold_skipped_reason,stage,track,evaluation_group,split_group
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_no_role_gate,leave_one_sortie_out,17.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,72.0,,,209.94942657399665,194.81979370117188,2.6823647022247314,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_no_role_gate,leave_one_sortie_out,17.0,2.0,20251005_四01_ACT-4_云_J20_22#01,36.0,,,615.1392880884783,431.8831176757813,1.4048603773117063,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_no_role_gate,leave_one_sortie_out,29.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,72.0,,,209.5981646508385,194.44259643554688,2.677876710891724,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_no_role_gate,leave_one_sortie_out,29.0,2.0,20251005_四01_ACT-4_云_J20_22#01,36.0,,,616.3538959072133,433.606201171875,1.4076343774795532,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,42.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36.0,,,206.37462144120337,190.95204162597656,2.63669228553772,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,42.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36.0,,,207.53429686439785,192.17665100097656,2.6515085697174072,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,42.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36.0,,,615.424700917992,432.2724304199219,1.4055122137069702,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,17.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36.0,,,204.4043174690789,188.84786987304688,2.6115190982818604,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,17.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36.0,,,207.54654033794444,192.220703125,2.651664972305298,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,17.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36.0,,,615.0047001852913,431.7268676757813,1.4045530557632446,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,29.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10033,36.0,,,205.9496107971559,190.5006561279297,2.6312623023986816,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,29.0,2.0,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,36.0,,,206.90212246675964,191.49717712402344,2.643431663513184,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_view_out,29.0,3.0,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,36.0,,,615.077611972668,431.7750244140625,1.404719591140747,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,42.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,72.0,,,208.93221837476383,193.7265625,2.6693685054779053,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,42.0,2.0,20251005_四01_ACT-4_云_J20_22#01,36.0,,,616.1683262307467,433.3167114257813,1.4072105884552002,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,17.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,72.0,,,209.94942657399665,194.81979370117188,2.6823647022247314,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,17.0,2.0,20251005_四01_ACT-4_云_J20_22#01,36.0,,,615.1392880884783,431.8831176757813,1.4048603773117063,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,29.0,1.0,20251002_单01_ACT-8_翼云_J16_12#01,72.0,,,209.5981646508385,194.44259643554688,2.677876710891724,,,,,,,,,
,,,,,,,,,,,,,P35_private_v3_confirm,completed,T2_next_window_physiology_response,v3_fixed_causal_lag,leave_one_sortie_out,29.0,2.0,20251005_四01_ACT-4_云_J20_22#01,36.0,,,616.3538959072133,433.606201171875,1.4076343774795532,,,,,,,,,
