ablation_group,balanced_accuracy,component,confusion_matrix,display_name_cn,feature_family,leakage_safe,mae,metric_direction,model_mode,nrmse,nrmse_normalization,per_class_f1,per_class_precision,per_class_recall,persistence_improvement_rate,persistence_rmse,primary_metric_name,primary_metric_value,protocol,seed,skipped_fold_count,skipped_reason,source_variant,split_strategy,status,task_name,task_type,valid_fold_count,variant_name
model_backbone,0.35042735042735046,continuous_state_backbone,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",双流连续表示,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,macro_f1,0.2766045548654244,leakage_safe_v1,43,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,continuous_dual_state
model_backbone,0.35042735042735046,continuous_state_backbone,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",双流连续表示,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,macro_f1,0.2766045548654244,leakage_safe_v1,71,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,continuous_dual_state
model_backbone,0.35042735042735046,continuous_state_backbone,"[[28, 1, 10], [24, 0, 12], [24, 0, 12]]",双流连续表示,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.48695652173913045, ""medium"": 0.0, ""high"": 0.34285714285714286}","{""low"": 0.3684210526315789, ""medium"": 0.0, ""high"": 0.35294117647058826}","{""low"": 0.717948717948718, ""medium"": 0.0, ""high"": 0.3333333333333333}",,,macro_f1,0.2766045548654244,leakage_safe_v1,97,0,,f_full,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,continuous_dual_state
model_backbone,,continuous_state_backbone,,双流连续表示,dual_projection,True,360.9690202958808,lower_is_better,learned,0.21358914299483553,target_range,,,,-1.4748796204321744,201.4895651832178,rmse,498.6624186016859,leakage_safe_v1,17,0,,f_full,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,continuous_dual_state
model_backbone,,continuous_state_backbone,,双流连续表示,dual_projection,True,360.9690202958808,lower_is_better,learned,0.21358914299483553,target_range,,,,-1.4748796204321744,201.4895651832178,rmse,498.6624186016859,leakage_safe_v1,29,0,,f_full,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,continuous_dual_state
model_backbone,,continuous_state_backbone,,双流连续表示,dual_projection,True,360.9690202958808,lower_is_better,learned,0.21358914299483553,target_range,,,,-1.4748796204321744,201.4895651832178,rmse,498.6624186016859,leakage_safe_v1,43,0,,f_full,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,continuous_dual_state
model_backbone,,continuous_state_backbone,,双流连续表示,dual_projection,True,360.9690202958808,lower_is_better,learned,0.21358914299483553,target_range,,,,-1.4748796204321744,201.4895651832178,rmse,498.6624186016859,leakage_safe_v1,71,0,,f_full,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,continuous_dual_state
model_backbone,,continuous_state_backbone,,双流连续表示,dual_projection,True,360.9690202958808,lower_is_better,learned,0.21358914299483553,target_range,,,,-1.4748796204321744,201.4895651832178,rmse,498.6624186016859,leakage_safe_v1,97,0,,f_full,leave_one_view_out,completed,T2_next_window_physiology_response,regression,3,continuous_dual_state
model_backbone,0.3247863247863248,remove_physics_constraint,"[[38, 1, 0], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.5100671140939598, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.34545454545454546, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9743589743589743, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17002237136465326,leakage_safe_v1,17,0,,e_baseline,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_physics_constraint
model_backbone,0.3247863247863248,remove_physics_constraint,"[[38, 1, 0], [36, 0, 0], [36, 0, 0]]",移除物理约束,dual_projection,True,,higher_is_better,learned,,,"{""low"": 0.5100671140939598, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.34545454545454546, ""medium"": 0.0, ""high"": 0.0}","{""low"": 0.9743589743589743, ""medium"": 0.0, ""high"": 0.0}",,,macro_f1,0.17002237136465326,leakage_safe_v1,29,0,,e_baseline,leave_one_view_out,completed,T1_maneuver_intensity_class,classification,3,remove_physics_constraint
