context_id,sortie_id,view_id,input_end_exclusive_ms,target_start_offset_ms,target_end_exclusive_ms,snapshot_stop_offset_ms,fully_observed,unavailable_reason
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0023,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,120000,120000,125000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0024,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,125000,125000,130000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0025,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,130000,130000,135000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0026,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,135000,135000,140000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0027,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,140000,140000,145000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0028,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,145000,145000,150000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0029,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,150000,150000,155000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0030,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,155000,155000,160000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0031,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,160000,160000,165000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0032,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,165000,165000,170000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0033,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,170000,170000,175000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0034,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,175000,175000,180000,181000,True,
20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035::context_end_0035,20251002_单01_ACT-8_翼云_J16_12#01,20251002_单01_ACT-8_翼云_J16_12#01__pilot_10035,180000,180000,185000,181000,False,future_interval_not_fully_observed
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0005,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,30000,30000,35000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0006,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,35000,35000,40000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0007,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,40000,40000,45000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0008,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,45000,45000,50000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0009,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,50000,50000,55000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0010,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,55000,55000,60000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0011,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,60000,60000,65000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0012,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,65000,65000,70000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0013,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,70000,70000,75000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0014,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,75000,75000,80000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0015,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,80000,80000,85000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0016,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,85000,85000,90000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0017,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,90000,90000,95000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0018,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,95000,95000,100000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0019,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,100000,100000,105000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0020,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,105000,105000,110000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0021,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,110000,110000,115000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0022,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,115000,115000,120000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0023,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,120000,120000,125000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0024,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,125000,125000,130000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0025,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,130000,130000,135000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0026,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,135000,135000,140000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0027,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,140000,140000,145000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0028,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,145000,145000,150000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0029,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,150000,150000,155000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0030,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,155000,155000,160000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0031,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,160000,160000,165000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0032,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,165000,165000,170000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0033,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,170000,170000,175000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0034,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,175000,175000,180000,181000,True,
20251005_四01_ACT-4_云_J20_22#01__pilot_10033::context_end_0035,20251005_四01_ACT-4_云_J20_22#01,20251005_四01_ACT-4_云_J20_22#01__pilot_10033,180000,180000,185000,181000,False,future_interval_not_fully_observed
