candidate_id,direction,evaluation_role,fit_role,fold_id,metric,outer_test_accessed,selected_head_variant,status,task,value,head_variant
summary_physiology_30s_linear,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,continuous_regression_threshold,completed,high_response,0.3508919922908065,
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold02,macro_f1,False,hist_gradient_boosting,completed,maneuver,0.17460317460317462,
summary_vehicle_30s_histgb,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,hist_gradient_boosting,completed,response,0.7923679961974973,
summary_vehicle_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,continuous_regression_threshold,completed,high_response,0.6171219378911685,
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold02,macro_f1,False,hist_gradient_boosting,completed,maneuver,0.17460317460317462,
summary_dual_30s_histgb,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,hist_gradient_boosting,completed,response,0.7923679961974973,
summary_dual_30s_histgb,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,continuous_regression_threshold,completed,high_response,0.6243105825798134,
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold02,macro_f1,False,balanced_logistic,completed,maneuver,1.0,
sequence_minirocket_1000,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,ridge_alpha=100;target=log1p,completed,response,0.8297316043184675,
sequence_minirocket_1000,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,bce,completed,high_response,0.6421228771228771,
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold02,macro_f1,False,balanced_logistic,completed,maneuver,1.0,
sequence_minirocket_5000,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,ridge_alpha=100;target=log1p,completed,response,1.0193691537745722,
sequence_minirocket_5000,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,joint_regression_risk,completed,high_response,0.7229485601726404,
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold02,macro_f1,False,balanced_logistic,completed,maneuver,1.0,
sequence_multirocket,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,ridge_alpha=100;target=raw,completed,response,0.8889867923455179,
sequence_multirocket,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,joint_regression_risk,completed,high_response,0.7205866597170945,
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold02,macro_f1,False,balanced_logistic,completed,maneuver,1.0,
sequence_hydra,lower,inner_validation,inner_train,leave_one_view_out__fold02,rmse,False,ridge_alpha=100;target=raw,completed,response,0.8961494806459851,
sequence_hydra,higher,inner_validation,inner_train,leave_one_view_out__fold02,auprc,False,continuous_regression_threshold,completed,high_response,0.5652528578335858,
